Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
1,L,91.500000,499.055141184464,928.234049803503,379.292110532072,1010.048398629,898.301970964907,1.92443290643905,61.8596295997656,1489.75407359625,595.577329871932,500,150,286.350220889238,
1,L,92.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,Constant Profile Start
1,L,92.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,93.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,93.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,94.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,94.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,95.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,95.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,96.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,96.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,97.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,97.500000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,
1,L,98.000000,500,930,380,1012,900,0.0,62,1492,595,500,150,287,Known Profile / Constant Profile Stop
1,L,98.500000,499.356750310784,928.79776015592,379.518076486395,1010.67137083898,898.844000149923,1.31013316342062,61.904437345727,1490.47099753163,595.393039949026,500,150,286.557637390704,
1,L,99.000000,497.430967091372,925.198452832104,378.075277164295,1006.6936747965,895.383127723177,5.23245524706645,61.6183385584493,1485.89341693519,596.56973657412,500,150,285.233276875402,
1,L,99.500000,494.234523435699,919.224268955094,375.680497371303,1000.0914356914,889.638720149129,11.7427838309875,61.143467532328,1478.29548051725,598.522835149296,500,150,283.035083577067,
1,L,100.000000,489.787126481828,910.91204135511,372.348501721186,990.905358523211,881.646193610683,20.8009805745597,60.4827520051498,1467.7240320824,601.240294172368,500,150,279.976610088355,
1,L,100.500000,484.116195910889,900.313017679402,368.099833075128,979.192078512365,871.454824691733,32.3511986827031,59.6402655078499,1454.2442481256,604.705359604811,500,150,276.07671291537,
1,L,101.000000,477.256694895629,887.492544433463,362.960685888158,965.023811925187,859.127446570638,46.3222272199436,58.6212022498394,1437.93923599743,608.896668165983,500,150,271.359436221031,
1,L,101.500000,469.25091454082,872.529664098096,356.962744711624,948.487910836614,844.740061632785,62.6279301495108,57.4318450949769,1418.90952151963,613.788379044853,500,150,265.853863584812,
1,L,102.000000,460.148213144544,855.51662780623,350.142988847397,929.686324575602,828.381372890605,81.1677773906473,56.0795268256234,1397.27242920997,619.350333217194,500,150,259.593938692805,
1,L,102.500000,450.004711887863,836.558326584012,342.543464358178,908.734971173613,810.152237100012,101.827464619987,54.572584933601,1373.16135893762,625.548239385996,500,150,252.618256063604,
1,L,103.000000,438.882948829082,815.771644662754,334.211024839542,885.763022691402,790.165042944955,124.479617995717,52.920310216783,1346.72496346853,632.343885398715,500,150,244.96982310027,
1,L,103.500000,426.851493335818,793.284738848772,325.197042551939,860.912108830309,768.543018123819,148.984579459672,51.1328894982357,1318.12623197177,639.695373837902,500,150,236.695794935381,
1,L,104.000000,413.984523332054,769.236248394065,315.557091693625,834.335443738056,745.419469609677,175.191267775699,49.2213428210667,1287.54148513707,647.55738033271,500,150,227.84718370397,
1,L,104.500000,400.361367966564,743.77444023922,305.35060576725,806.196881392574,720.936961768481,202.938109995722,47.1974555061944,1255.15928809911,655.881432998717,500,150,218.478544036739,
1,L,105.000000,386.066018522335,717.056294898423,294.640511152552,776.669905387745,695.24643740233,232.054037610693,45.073705491926,1221.17928787082,664.616211283208,500,150,208.647636712625,
1,L,105.500000,371.186610582376,689.246538622385,283.492839144299,745.936559349354,668.506287136909,262.359541244837,42.8631864033178,1185.81098245308,673.707862373451,500,150,198.41507254439,
1,L,106.000000,355.814880644544,660.516627806229,271.976318847397,714.186324575602,640.881372890605,293.667777390647,40.5795268256234,1149.27242920997,683.100333217194,500,150,187.843938692805,
1,L,106.500000,340.045600535523,631.043691903803,260.161953439109,681.614951821895,612.542011445965,325.78572036124,38.2368062795331,1111.78890047253,692.735716108372,500,150,176.999409713322,
1,L,107.000000,323.975993111004,601.00944136569,248.122582410853,648.42325443234,583.662924390087,358.515352357902,35.8494684162472,1073.59149465995,702.554605707371,500,150,165.948345733273,
